Series	Array	platform	TumorOrNormal	CNsegments	fracbsegments	skewness_seg	kurtosis_seg	skewness_prob	kurtosis_prob	probeMean	segMedian	positive_segment_ratio_mean	positive_segment_ratio_med
GSE23636	GSM579877	GPL6801	Tumor	1502	2005	-0.8632	2.5426	-0.3475	1.6329	-0.1078	-0.1283	0.3884	0.4999
GSE23636	GSM579881	GPL6801	Tumor	2908	1170	-0.7431	2.1928	-0.1853	3.6882	0.1162	0.1115	0.4606	0.5000
GSE23636	GSM579883	GPL6801	Tumor	2613	870	-1.4181	9.8303	-0.0466	5.0609	0.1647	0.1404	0.3924	0.4989
GSE23636	GSM579504	GPL6801	Tumor	2683	1819	-0.9824	1.7617	-0.4864	2.3267	0.1863	0.1912	0.5201	0.4985
GSE23636	GSM579597	GPL6801	Tumor	24190	1599	-0.4569	0.1230	-0.4201	1.1819	0.2887	0.3144	0.5289	0.4999
GSE23636	GSM579509	GPL6801	Tumor	2329	959	-2.4735	12.4112	-0.6067	3.9631	0.2160	0.2117	0.4860	0.4997
GSE23636	GSM579592	GPL6801	Tumor	4014	1351	-2.1929	13.8565	-0.4443	3.5890	0.2288	0.2319	0.5100	0.5001
GSE23636	GSM579569	GPL6801	Tumor	12043	1526	-0.9899	0.5308	-1.2054	3.8318	0.2101	0.2593	0.5792	0.5004
GSE23636	GSM579454	GPL6801	Tumor	1406	563	-1.5017	5.1887	-0.3051	3.0125	0.1344	0.1447	0.5926	0.5011
GSE23636	GSM579438	GPL6801	Tumor	4800	416	-1.2686	5.8681	-0.3433	1.9485	0.3960	0.3876	0.4141	0.5007
GSE23636	GSM579528	GPL6801	Tumor	2301	1309	-1.4474	5.6270	-0.4491	2.9749	0.1289	0.1363	0.5228	0.4982
GSE23636	GSM579551	GPL6801	Tumor	2134	554	-2.1337	8.9211	-0.6571	4.0048	0.1564	0.1663	0.5263	0.5013
GSE23636	GSM579526	GPL6801	Tumor	2515	370	-2.1010	8.5567	-0.6694	5.0271	0.1513	0.1572	0.5226	0.5002
GSE23636	GSM579524	GPL6801	Tumor	1996	1893	-2.4272	11.9098	-0.5155	3.6363	0.1418	0.1363	0.4850	0.4998
GSE23636	GSM579525	GPL6801	Tumor	1755	1904	-2.3185	10.4681	-0.3029	2.6811	0.1553	0.1277	0.3930	0.5012
GSE23636	GSM579563	GPL6801	Tumor	1917	1597	-2.3730	10.6593	-0.8723	10.9286	0.2258	0.2136	0.4496	0.5008
GSE23636	GSM579458	GPL6801	Tumor	1335	715	-2.6346	13.1634	-0.3823	3.3483	0.0657	0.0383	0.3842	0.4995
GSE23636	GSM579488	GPL6801	Tumor	3836	700	-1.6225	5.7642	-0.4938	2.6805	0.1102	0.0911	0.4621	0.4999
GSE23636	GSM579494	GPL6801	Tumor	3292	474	-2.0797	10.0890	-0.5874	5.9629	0.1352	0.1362	0.5019	0.5001
GSE23636	GSM579550	GPL6801	Tumor	3015	1032	-2.0734	12.2569	-0.5421	6.2115	0.1811	0.1733	0.4620	0.4996
GSE23636	GSM579567	GPL6801	Tumor	3782	1531	-1.5303	6.5257	-0.5217	3.2239	0.1586	0.1668	0.5197	0.5002
GSE23636	GSM579497	GPL6801	Tumor	4044	1788	-2.0206	9.5532	-0.5769	3.1422	0.1195	0.1095	0.4725	0.4999
GSE23636	GSM579491	GPL6801	Tumor	3756	1888	-1.5949	6.7422	-0.4317	1.8545	0.1522	0.1278	0.4396	0.4998
GSE23636	GSM579424	GPL6801	Tumor	875	834	-1.7797	5.0054	-0.4262	4.4792	0.2138	0.2011	0.3616	0.5030
GSE23636	GSM579604	GPL6801	Tumor	31784	1797	-0.2318	-0.1637	-0.2533	0.3733	0.3814	0.3970	0.5139	0.4999
GSE23636	GSM579436	GPL6801	Tumor	901	1937	-1.6685	7.0674	-0.6044	2.3139	0.2068	0.2118	0.5241	0.5004
GSE23636	GSM579520	GPL6801	Tumor	1630	1218	-2.2648	10.1776	-0.4316	3.2352	0.1462	0.1493	0.5285	0.4995
GSE23636	GSM579431	GPL6801	Tumor	1353	485	-2.3151	9.9108	-0.7518	7.4653	0.2046	0.1925	0.3758	0.5009
GSE23636	GSM579555	GPL6801	Tumor	4036	1226	-2.4790	16.3860	-0.4331	2.4429	0.2261	0.2241	0.4948	0.5000
GSE23636	GSM579483	GPL6801	Tumor	3178	427	-2.6299	15.0002	-0.6725	6.6765	0.1260	0.1294	0.5166	0.4996
GSE23636	GSM579609	GPL6801	Tumor	2424	2084	-2.1517	13.8618	-0.4377	4.0703	0.1936	0.1829	0.4547	0.4992
GSE23636	GSM579508	GPL6801	Tumor	2173	906	-2.1835	10.1408	-0.3786	3.1839	0.2179	0.1933	0.3946	0.4997
GSE23636	GSM579534	GPL6801	Tumor	2465	1300	-1.6518	5.9564	-0.5651	2.8872	0.1207	0.1327	0.5411	0.4999
GSE23636	GSM579443	GPL6801	Tumor	1504	1379	-2.0599	8.9514	-0.4602	2.7782	0.2425	0.2507	0.5431	0.5011
GSE23636	GSM579527	GPL6801	Tumor	4216	1409	-2.3357	16.1851	-0.2228	3.7955	0.1805	0.1668	0.4519	0.5000
GSE23636	GSM579457	GPL6801	Tumor	1438	1550	-2.5711	11.7373	-0.5829	4.0272	0.0581	0.0515	0.4702	0.4982
GSE23636	GSM579576	GPL6801	Tumor	3250	1370	-1.3072	6.5869	-0.3513	2.9927	0.1748	0.1637	0.4606	0.5001
GSE23636	GSM579448	GPL6801	Tumor	861	1173	-1.8939	5.7163	-0.4293	4.5251	0.1788	0.1632	0.2855	0.4974
GSE23636	GSM579470	GPL6801	Tumor	9560	1955	-0.8721	3.1083	-0.3392	1.1892	0.4092	0.3980	0.4767	0.5001
GSE23636	GSM579588	GPL6801	Tumor	8984	1622	-0.7476	3.0586	-0.3211	2.0783	0.2455	0.2566	0.5247	0.5001
GSE23636	GSM579583	GPL6801	Tumor	18532	1424	-0.5261	0.3732	-0.4623	1.1573	0.2921	0.3115	0.5210	0.5000
GSE23636	GSM579532	GPL6801	Tumor	1853	1407	-1.7547	8.2733	-0.3718	2.3609	0.1849	0.1774	0.4715	0.5004
GSE23636	GSM579577	GPL6801	Tumor	2334	1680	-1.6699	8.1490	-0.4368	3.3793	0.1946	0.2133	0.6025	0.4981
GSE23636	GSM579607	GPL6801	Tumor	10577	1839	-0.2745	1.7825	-0.2251	2.3187	0.3122	0.2972	0.4718	0.5000
GSE23636	GSM579591	GPL6801	Tumor	4939	1171	-1.2867	9.3313	-0.0955	2.0832	0.2618	0.2427	0.4425	0.4994
GSE23636	GSM579425	GPL6801	Tumor	973	1040	-2.0731	7.1897	-0.6472	3.7742	0.2027	0.2128	0.5441	0.4971
GSE23636	GSM579560	GPL6801	Tumor	4177	1975	-0.9988	8.5855	-0.1223	2.0966	0.2003	0.1805	0.4334	0.5000
GSE23636	GSM579564	GPL6801	Tumor	4901	366	-1.6293	7.7414	-0.5522	5.4096	0.1822	0.1878	0.5119	0.5001
GSE23636	GSM579512	GPL6801	Tumor	2982	1375	-2.3576	14.5798	-0.3205	4.0726	0.1805	0.1629	0.4268	0.4992
GSE23636	GSM579571	GPL6801	Tumor	2365	504	-2.0896	8.1762	-0.6947	5.4663	0.0445	0.0561	0.5484	0.5005
GSE23636	GSM579606	GPL6801	Tumor	1361	1687	-1.1928	3.9027	-0.4059	2.2786	-0.1214	-0.1434	0.3662	0.4995
GSE23636	GSM579612	GPL6801	Tumor	1391	2102	-1.8779	9.5001	-0.3543	2.1649	0.1309	0.1051	0.4128	0.4993
GSE23636	GSM579616	GPL6801	Tumor	3001	1342	-1.7808	8.1699	-0.4107	2.9619	0.1858	0.1821	0.4835	0.4984
GSE23636	GSM579622	GPL6801	Tumor	2304	518	-2.6473	13.8599	-0.5136	3.9450	0.1534	0.1494	0.4910	0.5004
GSE23636	GSM579626	GPL6801	Tumor	3028	1648	-1.9542	9.3611	-0.4815	2.7005	-0.0703	-0.0630	0.5185	0.5000
GSE23636	GSM579629	GPL6801	Tumor	2122	1912	-1.7496	10.3238	-0.1715	2.1173	0.1486	0.1219	0.3934	0.4990
GSE23636	GSM579633	GPL6801	Tumor	2814	1380	-1.9442	10.2540	-0.3963	3.3998	0.1693	0.1531	0.4452	0.4999
GSE23636	GSM579636	GPL6801	Tumor	2975	1973	-1.3759	7.6647	-0.2221	1.4842	0.1735	0.1647	0.4789	0.4999
GSE23636	GSM579641	GPL6801	Tumor	1506	1694	-1.4852	7.3708	-0.1208	3.4018	0.0587	0.0399	0.3778	0.5020
GSE23636	GSM579649	GPL6801	Tumor	1167	771	-1.8284	7.0458	-0.3598	2.3725	-0.0174	-0.0163	0.5105	0.4999
GSE23636	GSM579657	GPL6801	Tumor	1528	1753	-1.8915	7.2297	-0.5062	2.4834	0.0398	0.0447	0.5137	0.4987
GSE23636	GSM579673	GPL6801	Tumor	2174	1940	-1.3788	4.2259	-0.6178	3.8215	0.0321	0.0449	0.5573	0.5018
GSE23636	GSM579684	GPL6801	Tumor	994	938	-1.1133	3.8959	-0.7499	13.6393	0.0228	0.0286	0.6104	0.4991
GSE23636	GSM579691	GPL6801	Tumor	486	689	-1.2666	3.1700	-0.6511	4.0082	-0.0521	-0.0455	0.6503	0.4975
GSE23636	GSM579694	GPL6801	Tumor	1981	1633	-1.6800	7.8842	-0.3928	1.8335	0.0229	0.0188	0.4893	0.5022
GSE23636	GSM579707	GPL6801	Tumor	1130	1157	-2.1493	7.1568	-0.5384	4.2645	0.0806	0.0608	0.4071	0.5035
GSE23636	GSM579708	GPL6801	Tumor	1750	1539	-2.5182	13.3435	-0.4764	5.2421	0.1516	0.1577	0.5289	0.4997
GSE23636	GSM579719	GPL6801	Tumor	1294	1880	-1.7028	9.1295	-0.2959	6.1307	0.1511	0.1334	0.3358	0.4989
GSE23636	GSM579720	GPL6801	Tumor	1690	1292	-2.6533	12.7406	-0.4739	5.1920	0.1107	0.1150	0.5411	0.5011
GSE23636	GSM579724	GPL6801	Tumor	629	1313	-1.9150	5.7072	-0.8970	4.6355	0.0472	0.0541	0.5426	0.5002
GSE23636	GSM579725	GPL6801	Tumor	1071	1354	-2.0271	9.5605	-0.2359	2.8398	0.0661	0.0458	0.3912	0.5013
GSE23636	GSM579731	GPL6801	Tumor	2257	647	-2.3413	12.4699	-0.3260	2.7746	0.1547	0.1522	0.4957	0.5003
GSE23636	GSM579737	GPL6801	Tumor	972	1325	-1.9077	6.1683	-0.6047	3.9167	-0.1453	-0.1303	0.6142	0.4995
GSE23636	GSM579742	GPL6801	Tumor	877	993	-1.8754	6.7469	-0.4237	2.8443	0.0646	0.0472	0.4070	0.5006
GSE23636	GSM579744	GPL6801	Tumor	2330	1191	-2.1806	14.9108	-0.4391	3.0323	-0.1535	-0.1625	0.4603	0.4999
GSE23636	GSM579755	GPL6801	Tumor	2590	1050	-2.0183	11.6066	-0.2228	1.9010	0.1134	0.1009	0.4618	0.5001
GSE23636	GSM579758	GPL6801	Tumor	6106	1830	-0.8642	1.5873	-0.4069	1.7669	0.0879	0.1060	0.5403	0.5001
GSE23636	GSM579762	GPL6801	Tumor	2752	803	-2.6749	12.8830	-0.3476	3.3731	0.2135	0.2060	0.4739	0.4999
GSE23636	GSM579764	GPL6801	Tumor	1296	1196	-2.2027	8.4925	-0.3019	1.8594	-0.0158	-0.0174	0.4900	0.5003
GSE23636	GSM579766	GPL6801	Tumor	1719	592	-2.5541	12.2163	-0.4465	4.3898	0.1703	0.1460	0.3922	0.5008
GSE23636	GSM579767	GPL6801	Tumor	1529	960	-2.1535	9.0605	-0.5731	4.0560	-0.0218	-0.0068	0.5598	0.5004
GSE23636	GSM579772	GPL6801	Tumor	1477	429	-2.8564	14.5736	-0.7928	6.5006	-0.0354	-0.0198	0.5709	0.4995
GSE23636	GSM579780	GPL6801	Tumor	1543	1911	-1.3950	7.2618	-0.2944	2.0032	0.1402	0.1216	0.4380	0.5014
GSE23636	GSM579783	GPL6801	Tumor	2734	1635	-1.4339	8.2544	-0.3483	2.2222	0.0650	0.0754	0.5199	0.5001
GSE23636	GSM579788	GPL6801	Tumor	893	1349	-1.5327	5.4833	-0.2304	6.5170	0.0751	0.0626	0.2614	0.5002
GSE23636	GSM579790	GPL6801	Tumor	1398	1915	-2.1071	9.5961	-0.5375	2.6656	0.0589	0.0428	0.4393	0.4999
GSE23636	GSM579793	GPL6801	Tumor	1792	1791	-1.9036	9.8763	-0.4061	4.2211	0.0207	0.0282	0.5270	0.4994
GSE23636	GSM579794	GPL6801	Tumor	1263	1467	-1.3508	5.6361	-0.1301	3.2178	0.1030	0.0812	0.3508	0.5003
GSE23636	GSM579795	GPL6801	Tumor	1311	1728	-1.8703	10.0405	-0.4638	2.5600	0.0320	0.0369	0.5327	0.5004
GSE23636	GSM579802	GPL6801	Tumor	1933	594	-2.3927	10.1832	-0.4085	3.2027	0.0850	0.0832	0.4831	0.4999
GSE23636	GSM579814	GPL6801	Tumor	3812	1312	-1.7291	8.2268	-0.3971	2.4953	0.1201	0.1218	0.5033	0.5001
GSE23636	GSM579815	GPL6801	Tumor	1314	1696	-1.5381	7.1569	-0.2370	5.0222	0.0880	0.0702	0.3771	0.5008
GSE23636	GSM579816	GPL6801	Tumor	3118	1198	-2.3458	14.0532	-0.3971	4.4374	0.1707	0.1665	0.4854	0.5001
GSE23636	GSM579822	GPL6801	Tumor	1624	1409	-1.6696	6.3975	-0.5176	4.8224	0.0183	0.0329	0.5526	0.5006
GSE23636	GSM579826	GPL6801	Tumor	2267	756	-2.2093	11.9493	-0.5215	4.5773	0.1601	0.1459	0.4536	0.5000
GSE23636	GSM579827	GPL6801	Tumor	1214	1422	-1.8026	7.6311	-0.3963	2.3997	0.0427	0.0450	0.5130	0.5011
GSE23636	GSM579828	GPL6801	Tumor	1311	1381	-2.2666	9.3887	-0.4734	3.0679	0.0553	0.0587	0.5044	0.5002
GSE23636	GSM579829	GPL6801	Tumor	1555	2050	-2.0191	9.9379	-0.2837	2.3547	0.0909	0.0674	0.4072	0.4998
GSE23636	GSM579830	GPL6801	Tumor	4730	1705	-1.4643	5.5737	-0.4210	1.1171	0.1946	0.1833	0.4804	0.4998
GSE23636	GSM579833	GPL6801	Tumor	4399	1018	-1.4603	6.4545	-0.3531	1.2231	0.1446	0.1373	0.4850	0.5001
GSE23636	GSM579836	GPL6801	Tumor	4426	1611	-1.0792	7.9011	-0.0503	0.9434	0.2403	0.2248	0.4640	0.5001
GSE23636	GSM579839	GPL6801	Tumor	1240	1331	-1.4927	6.1056	-0.2938	1.3184	-0.2910	-0.3015	0.4389	0.5013
GSE23636	GSM579840	GPL6801	Tumor	2714	669	-1.8103	11.4392	-0.3510	4.1097	0.1420	0.1453	0.5204	0.5007
GSE23636	GSM579843	GPL6801	Tumor	1327	1861	-1.2226	7.4532	0.0104	1.7142	0.0849	0.0688	0.4116	0.4994
GSE23636	GSM579848	GPL6801	Tumor	3855	832	-0.8262	2.6211	-0.2032	1.5667	0.0604	0.0640	0.5123	0.5002
GSE23636	GSM579849	GPL6801	Tumor	4037	1485	-1.7974	11.1130	-0.3670	1.9345	0.2598	0.2450	0.4512	0.4998
GSE23636	GSM579871	GPL6801	Tumor	1230	2127	-1.4857	5.0429	-0.4254	2.1683	0.0124	0.0000	0.4302	0.5091
GSE23636	GSM579878	GPL6801	Tumor	1500	1763	-1.6123	7.7424	-0.3089	2.0624	0.0078	-0.0147	0.3642	0.5009
GSE23636	GSM579880	GPL6801	Tumor	1889	1636	-2.2427	8.7555	-0.5098	2.9558	0.0485	0.0429	0.4750	0.4996
GSE23636	GSM579416	GPL6801	Tumor	1603	1086	-2.0374	8.7568	-0.3531	4.4924	0.1918	0.1789	0.3872	0.5003
GSE23636	GSM579462	GPL6801	Tumor	1667	1659	-2.4537	12.5928	-0.2584	4.4438	0.0358	0.0069	0.3483	0.5003
GSE23636	GSM579485	GPL6801	Tumor	2394	1703	-2.3328	15.2807	-0.4318	3.2721	0.1232	0.1144	0.4779	0.4999
GSE23636	GSM579730	GPL6801	Tumor	1497	1309	-1.9472	8.9575	-0.2948	4.2789	0.0848	0.0655	0.3896	0.5000
GSE23636	GSM579739	GPL6801	Tumor	928	403	-1.5693	4.7827	-0.5602	3.5759	0.1656	0.1795	0.6178	0.4976
GSE23636	GSM579617	GPL6801	Tumor	3546	812	-1.6666	9.4962	-0.2177	3.3048	0.2224	0.2020	0.4242	0.5002
GSE23636	GSM579763	GPL6801	Tumor	1298	1251	-2.1921	8.9097	-0.5447	4.1895	0.1305	0.1401	0.5622	0.5004
GSE23636	GSM579418	GPL6801	Tumor	440	1687	-1.8457	4.6000	-1.1267	6.4961	0.2331	0.2225	0.2906	0.5092
GSE23636	GSM579698	GPL6801	Tumor	1189	2081	-0.8825	3.6771	0.1092	4.9891	0.0700	0.0765	0.6214	0.4997
GSE23636	GSM579435	GPL6801	Tumor	3093	914	-1.9314	10.3583	-0.5500	3.3523	0.2932	0.3068	0.5529	0.5017
GSE23636	GSM579630	GPL6801	Tumor	1006	1093	-1.9620	8.1829	-0.4597	3.8254	0.0542	0.0582	0.5134	0.4982
GSE23636	GSM579685	GPL6801	Tumor	2445	1595	-1.1713	4.5102	-0.2769	3.0621	-0.0927	-0.0864	0.5481	0.4996
GSE23636	GSM579465	GPL6801	Tumor	4205	1959	-1.8685	10.8242	-0.8666	11.1090	0.2698	0.2597	0.4679	0.4997
GSE23636	GSM579753	GPL6801	Tumor	1226	307	-1.6436	7.7113	-0.4558	5.2877	0.1052	0.1195	0.5906	0.5007
GSE23636	GSM579420	GPL6801	Tumor	939	1038	-1.9179	6.6172	-0.8247	10.0660	0.2040	0.1846	0.2957	0.5026
GSE23636	GSM579741	GPL6801	Tumor	1518	1256	-1.8883	7.0883	-0.4711	3.4344	0.1161	0.1192	0.5044	0.4995
GSE23636	GSM579651	GPL6801	Tumor	771	1857	-1.7371	5.4197	-0.3866	3.2305	-0.0209	-0.0145	0.5947	0.4881
GSE23636	GSM579678	GPL6801	Tumor	1864	830	-2.4181	12.0676	-0.9304	9.5883	-0.1281	-0.1128	0.5743	0.4999
GSE23636	GSM579556	GPL6801	Tumor	1446	1698	-2.0974	13.0880	-0.4011	2.2754	0.1763	0.1600	0.4388	0.5003
GSE23636	GSM579647	GPL6801	Tumor	1631	1398	-0.8854	4.5962	-0.0977	2.4296	0.1592	0.1395	0.4078	0.5000
GSE23636	GSM579779	GPL6801	Tumor	4578	1427	-1.0296	6.3602	-0.2427	3.1906	0.2228	0.2215	0.4922	0.4994
GSE23636	GSM579643	GPL6801	Tumor	3011	1806	-0.8865	3.7270	-0.4083	1.7746	0.2351	0.2065	0.4139	0.5000
GSE23636	GSM579711	GPL6801	Tumor	732	1879	-1.4168	4.9960	-0.3091	4.8636	0.0056	-0.0185	0.2504	0.4994
GSE23636	GSM579611	GPL6801	Tumor	5609	1178	-1.8747	11.3396	-0.3516	3.2358	0.2089	0.1986	0.4648	0.5007
GSE23636	GSM579529	GPL6801	Tumor	8548	2077	-0.7783	3.1356	-0.1714	1.9799	0.2334	0.2253	0.4828	0.5009
GSE23636	GSM579587	GPL6801	Tumor	1940	1574	-2.1306	10.9946	-0.1879	2.7387	0.1311	0.1136	0.4192	0.5002
GSE23636	GSM579514	GPL6801	Tumor	20691	1107	-0.6257	0.2714	-0.6319	1.8704	0.3687	0.4197	0.5687	0.5000
GSE23636	GSM579733	GPL6801	Tumor	2204	1530	-1.9630	12.8204	-0.2347	4.4292	0.1239	0.1279	0.5113	0.4998
GSE23636	GSM579600	GPL6801	Tumor	2556	2126	-1.2907	10.5563	-0.0812	1.2884	0.1556	0.1322	0.4211	0.4998
GSE23636	GSM579768	GPL6801	Tumor	1620	1058	-2.3717	10.7435	-0.4592	4.9311	-0.0735	-0.0771	0.4781	0.4997
GSE23636	GSM579613	GPL6801	Tumor	2127	1522	-2.6737	14.8526	-0.8300	5.9296	0.1471	0.1505	0.5119	0.5016
GSE23636	GSM579575	GPL6801	Tumor	3820	1258	-1.8539	8.3527	-0.7282	5.0204	0.0793	0.0892	0.5354	0.4995
GSE23636	GSM579521	GPL6801	Tumor	3677	1599	-1.3610	5.7114	-0.3403	2.6461	0.2039	0.1999	0.4818	0.4998
GSE23636	GSM579505	GPL6801	Tumor	4013	540	-2.2558	10.0890	-0.5573	3.5039	0.1481	0.1421	0.4854	0.5003
GSE23636	GSM579754	GPL6801	Tumor	1138	389	-1.6574	7.0181	-0.3123	4.5349	0.1246	0.1097	0.4091	0.5012
GSE23636	GSM579434	GPL6801	Tumor	1098	651	-1.8385	6.5647	-0.1592	5.9873	0.1821	0.1692	0.3290	0.5010
GSE23636	GSM579456	GPL6801	Tumor	1593	927	-2.3072	10.7269	-0.3669	4.6068	0.0895	0.0671	0.3953	0.5001
GSE23636	GSM579460	GPL6801	Tumor	2240	444	-2.6886	13.9538	-0.3598	3.2669	0.1659	0.1383	0.4160	0.4998
GSE23636	GSM579631	GPL6801	Tumor	1729	1513	-1.7137	5.8984	-0.5628	4.6149	0.1762	0.1809	0.5408	0.4995
GSE23636	GSM579472	GPL6801	Tumor	4283	2161	-1.2444	9.2116	-0.2045	1.8252	0.2658	0.2485	0.4650	0.5007
GSE23636	GSM579553	GPL6801	Tumor	2193	1160	-2.7885	18.9054	-0.5591	3.7868	0.1602	0.1555	0.4778	0.5002
GSE23636	GSM579423	GPL6801	Tumor	976	760	-1.7669	5.5267	-0.5342	4.5314	0.1533	0.1658	0.6384	0.5051
GSE23636	GSM579674	GPL6801	Tumor	483	1819	-1.3192	3.7648	-0.4727	5.8257	-0.0189	-0.0427	0.2178	0.4943
GSE23636	GSM579688	GPL6801	Tumor	1299	628	-1.9789	7.8957	-0.4821	5.9655	0.1195	0.1345	0.6268	0.5011
GSE23636	GSM579547	GPL6801	Tumor	2156	1375	-1.3528	6.5354	-0.2995	1.9106	0.1712	0.1548	0.4313	0.5002
GSE23636	GSM579761	GPL6801	Tumor	2324	1200	-2.1388	13.1629	-0.1702	3.9154	0.1516	0.1288	0.3971	0.5001
GSE23636	GSM579596	GPL6801	Tumor	31115	1902	-0.2188	0.4166	-0.1531	0.8949	0.2616	0.2547	0.4917	0.5000
GSE23636	GSM579752	GPL6801	Tumor	1368	1018	-0.7459	3.7243	-0.0615	3.2800	0.1195	0.1014	0.3650	0.5003
GSE23636	GSM579523	GPL6801	Tumor	939	1879	-2.0355	8.7684	-0.3237	3.3375	0.0733	0.0387	0.2430	0.5017
GSE23636	GSM579557	GPL6801	Tumor	1898	967	-2.6530	12.6292	-0.7285	3.8652	0.1088	0.1136	0.5185	0.5003
GSE23636	GSM579713	GPL6801	Tumor	2596	674	-2.2163	10.9988	-0.2780	2.9654	0.2182	0.1998	0.4339	0.4997
GSE23636	GSM579605	GPL6801	Tumor	1556	1109	-2.0609	9.0789	-0.4661	3.3888	0.0200	0.0289	0.5375	0.4986
GSE23636	GSM579581	GPL6801	Tumor	1870	1829	-1.5570	9.3607	-0.3047	3.0286	0.1139	0.0947	0.4106	0.5000
GSE23636	GSM579716	GPL6801	Tumor	2063	994	-2.4065	12.1279	-0.4200	3.5121	0.1286	0.1269	0.4956	0.4996
GSE23636	GSM579482	GPL6801	Tumor	8625	1681	-1.2731	3.1505	-0.5511	4.1401	0.2222	0.2302	0.5233	0.4994
GSE23636	GSM579466	GPL6801	Tumor	4393	2208	-0.9657	7.4942	-0.1156	1.0027	0.3171	0.2859	0.4273	0.5000
GSE23636	GSM579516	GPL6801	Tumor	2373	1089	-2.9089	15.9165	-0.5828	3.4049	0.1464	0.1346	0.4660	0.5013
GSE23636	GSM579477	GPL6801	Tumor	3020	2156	-1.0061	7.7328	-0.1022	1.4138	0.2400	0.2192	0.4341	0.5001
GSE23636	GSM579540	GPL6801	Tumor	1361	1636	-2.0747	9.7167	-0.6387	7.0170	0.1331	0.1382	0.5125	0.4998
GSE23636	GSM579608	GPL6801	Tumor	3433	1386	-2.2269	15.3218	-0.2275	5.9766	0.1352	0.1059	0.3955	0.5006
GSE23636	GSM579598	GPL6801	Tumor	5013	1611	-1.4722	7.2368	-0.3244	1.3981	0.2010	0.1804	0.4578	0.4999
GSE23636	GSM579735	GPL6801	Tumor	1208	1430	-1.8881	8.3941	-0.5205	4.7580	0.0175	0.0204	0.5238	0.5000
GSE23636	GSM579751	GPL6801	Tumor	993	965	-1.1086	3.5151	-0.4061	8.4926	0.0573	0.0669	0.6102	0.5012
GSE23636	GSM579639	GPL6801	Tumor	1174	1918	-2.4393	15.9075	-0.3070	3.6139	0.0971	0.0727	0.3634	0.5018
GSE23636	GSM579672	GPL6801	Tumor	1924	1862	-1.4724	8.5047	-0.3295	1.9207	0.0495	0.0383	0.4550	0.4987
GSE23636	GSM579572	GPL6801	Tumor	2049	1460	-2.2533	11.6988	-0.4613	3.5856	0.1390	0.1207	0.4327	0.5003
GSE23636	GSM579665	GPL6801	Tumor	2964	732	-2.9589	17.5877	-0.5462	5.1362	0.0982	0.0999	0.5093	0.4993
GSE23636	GSM579680	GPL6801	Tumor	1335	1020	-0.9125	4.5531	-0.0087	2.3823	0.1301	0.1399	0.5626	0.4997
GSE23636	GSM579450	GPL6801	Tumor	1607	857	-2.0974	9.2494	-0.4440	4.2668	0.1946	0.2076	0.6228	0.4999
GSE23636	GSM579738	GPL6801	Tumor	857	2187	-0.9331	3.8326	-0.0870	1.7898	-0.0286	-0.0454	0.3175	0.4996
GSE23636	GSM579426	GPL6801	Tumor	2562	481	-2.3142	11.5955	-0.6244	3.8282	0.2733	0.2929	0.5805	0.5014
GSE23636	GSM579510	GPL6801	Tumor	5303	1292	-1.2352	6.5036	-0.3279	3.1061	0.2334	0.2244	0.4763	0.5003
GSE23636	GSM579427	GPL6801	Tumor	705	661	-2.0599	5.9491	-0.5908	5.1605	0.1075	0.0836	0.2407	0.4981
GSE23636	GSM579705	GPL6801	Tumor	513	1441	-1.6893	5.3836	-0.4505	2.6285	0.0005	-0.0129	0.3316	0.5012
GSE23636	GSM579473	GPL6801	Tumor	5035	2090	-1.1970	8.5406	-0.1806	2.2220	0.2968	0.2777	0.4476	0.4999
GSE23636	GSM579662	GPL6801	Tumor	1143	1403	-1.7096	6.4723	-0.4273	3.9151	0.0534	0.0584	0.5272	0.5015
GSE23636	GSM579515	GPL6801	Tumor	2590	1169	-2.6659	12.1089	-0.6925	4.4681	0.2361	0.2343	0.4940	0.4996
GSE23636	GSM579676	GPL6801	Tumor	2723	1073	-1.8378	11.3044	-0.2636	2.8425	0.1160	0.0903	0.3835	0.5000
GSE23636	GSM579538	GPL6801	Tumor	2830	1665	-1.1939	4.0101	-0.3764	2.6745	0.1712	0.1846	0.5533	0.4998
GSE23636	GSM579686	GPL6801	Tumor	2960	1859	-0.7869	6.4273	0.0068	3.3251	0.1308	0.1361	0.5248	0.4991
GSE23636	GSM579677	GPL6801	Tumor	1080	855	-1.9615	8.4736	-0.4184	5.7463	-0.0242	-0.0466	0.3516	0.5014
GSE23636	GSM579682	GPL6801	Tumor	1221	803	-2.4129	10.1097	-0.4869	3.2318	-0.0512	-0.0512	0.5030	0.5013
GSE23636	GSM579765	GPL6801	Tumor	1371	476	-2.6598	12.9554	-0.7049	6.3550	0.1249	0.1328	0.5734	0.5007
GSE23636	GSM579624	GPL6801	Tumor	3796	2037	-0.8890	5.1416	-0.2428	0.9180	0.3974	0.3956	0.4891	0.5000
GSE23636	GSM579736	GPL6801	Tumor	2314	2111	-1.3480	6.6444	-0.2394	1.2598	0.0669	0.0500	0.4383	0.4996
GSE23636	GSM579471	GPL6801	Tumor	3225	2179	-1.2472	10.3405	-0.0161	1.9621	0.1852	0.1556	0.4067	0.5000
GSE23636	GSM579542	GPL6801	Tumor	9187	1737	-0.9231	1.6218	-0.4850	1.7391	0.3078	0.3199	0.5195	0.5000
