Sample	Series	Speak	Breakpoint_Step	Breakpoint_CBS	Spread	Classification_Label	Decision_Value	Good_Poor	Case_Diagnosis
GSM462404	GSE12906	7.1583	12	25	0.2505	1	1.8655	good	2: good quality, discernible CNAs with few waves
GSM462405	GSE12906	1.5519	3	28	0.3153	1	1.1714	good	2: good quality, discernible CNAs with few waves
GSM462406	GSE12906	11.7865	34	46	0.3098	1	2.0213	good	2: good quality, discernible CNAs with few waves
GSM462407	GSE12906	1.9687	29	27	0.2832	1	2.1142	good	2: good quality, discernible CNAs with few waves
GSM462408	GSE12906	1.1476	120	22	0.4879	2	-1.5288	poor	4: poor quality, few CNAs, few waves, high probe value dispersion
GSM462409	GSE12906	1.377	7	31	0.2633	1	1.1347	good	5: good quality, control or without many CNAs
GSM462410	GSE12906	3.2738	21	41	0.2831	1	2.4991	good	2: good quality, discernible CNAs with few waves
GSM462411	GSE12906	1.3671	18	31	0.2579	1	1.3016	good	5: good quality, control or without many CNAs
GSM462412	GSE12906	2.2778	12	27	0.2581	1	1.9523	good	2: good quality, discernible CNAs with few waves
GSM462413	GSE12906	3.8801	27	50	0.2448	1	2.343	good	2: good quality, discernible CNAs with few waves
GSM462414	GSE12906	1.1666	2	24	0.3017	1	0.8438	good	5: good quality, control or without many CNAs
GSM462415	GSE12906	1.576	17	26	0.2701	1	1.6418	good	2: good quality, discernible CNAs with few waves
GSM462416	GSE12906	4.3232	18	45	0.2647	1	2.4461	good	2: good quality, discernible CNAs with few waves
GSM462417	GSE12906	3.13	45	49	0.2894	1	2.145	good	2: good quality, discernible CNAs with few waves
GSM462418	GSE12906	2.5072	12	34	0.3221	1	2.0011	good	2: good quality, discernible CNAs with few waves
GSM462419	GSE12906	1.9011	89	41	0.2856	1	0.737	good	2: good quality, discernible CNAs with few waves
GSM462420	GSE12906	4.5951	20	32	0.2575	1	2.688	good	2: good quality, discernible CNAs with few waves
GSM462421	GSE12906	1.234	118	29	0.2249	1	1.2464	good	5: good quality, control or without many CNAs
GSM462422	GSE12906	1.8683	36	41	0.2761	1	1.4357	good	2: good quality, discernible CNAs with few waves
GSM462423	GSE12906	4.7412	41	54	0.2909	1	2.6678	good	2: good quality, discernible CNAs with few waves
GSM462424	GSE12906	1.2423	5	24	0.2439	1	1.1133	good	5: good quality, control or without many CNAs
GSM462425	GSE12906	1.7294	24	37	0.2813	1	1.4619	good	2: good quality, discernible CNAs with few waves
GSM462426	GSE12906	1.1555	120	22	0.3225	1	0.7544	good	5: good quality, control or without many CNAs
GSM462427	GSE12906	3.8091	10	26	0.3057	1	2.3093	good	2: good quality, discernible CNAs with few waves
GSM462428	GSE12906	1.1392	120	24	0.3167	1	0.6848	good	5: good quality, control or without many CNAs
GSM462429	GSE12906	3.2681	13	28	0.2219	1	2.0425	good	2: good quality, discernible CNAs with few waves
GSM462430	GSE12906	1.3021	120	24	0.3021	1	0.9516	good	5: good quality, control or without many CNAs
GSM462431	GSE12906	3.1348	22	43	0.2318	1	2.1476	good	2: good quality, discernible CNAs with few waves
GSM462432	GSE12906	1.1589	120	24	0.2774	1	1.1745	good	5: good quality, control or without many CNAs
GSM462433	GSE12906	1.2038	12	24	0.2836	1	1.1486	good	5: good quality, control or without many CNAs
GSM462434	GSE12906	6.222	62	71	0.2615	1	2.0259	good	2: good quality, discernible CNAs with few waves
GSM462435	GSE12906	1.2356	103	25	0.2717	1	1.3253	good	5: good quality, control or without many CNAs
GSM462436	GSE12906	1.1949	120	27	0.2572	1	1.162	good	5: good quality, control or without many CNAs
GSM462437	GSE12906	3.2089	41	51	0.2706	1	2.1524	good	2: good quality, discernible CNAs with few waves
GSM462438	GSE12906	3.0279	28	37	0.2582	1	2.5661	good	2: good quality, discernible CNAs with few waves
GSM462439	GSE12906	2.0915	12	30	0.2962	1	1.8539	good	2: good quality, discernible CNAs with few waves
GSM462440	GSE12906	1.7816	15	31	0.3141	1	1.5525	good	2: good quality, discernible CNAs with few waves
GSM462441	GSE12906	1.4147	37	27	0.2745	1	1.6832	good	5: good quality, control or without many CNAs
GSM374894	GSE14860	3.3037	10	24	0.3239	1	2.2328	good	2: good quality, discernible CNAs with few waves
GSM374895	GSE14860	2.4225	43	59	0.4125	2	-0.0279	poor	3: poor quality, indiscernible CNAs with many waves
GSM374896	GSE14860	3.0774	14	24	0.4435	1	1.6856	good	2: good quality, discernible CNAs with few waves
GSM374897	GSE14860	1.5854	120	22	0.3078	1	1.1008	good	2: good quality, discernible CNAs with few waves
GSM374898	GSE14860	1.8469	12	23	0.3422	1	1.5203	good	2: good quality, discernible CNAs with few waves
GSM374899	GSE14860	1.4868	120	24	0.3946	2	-0.3867	poor	4: poor quality, few CNAs, few waves, high probe value dispersion
GSM374900	GSE14860	1.6319	120	25	0.3074	1	0.9497	good	2: good quality, discernible CNAs with few waves
GSM374901	GSE14860	2.7132	4	24	0.3031	1	1.5523	good	2: good quality, discernible CNAs with few waves
GSM374902	GSE14860	1.7624	120	25	0.3286	1	0.7229	good	2: good quality, discernible CNAs with few waves
GSM374903	GSE14860	1.6354	2	23	0.3084	1	1.0061	good	2: good quality, discernible CNAs with few waves
GSM374904	GSE14860	1.7577	120	37	0.4423	2	-1.4843	poor	4: poor quality, few CNAs, few waves, high probe value dispersion
GSM374905	GSE14860	1.4396	120	25	0.3512	1	0.2165	good	5: good quality, control or without many CNAs
GSM374906	GSE14860	1.7666	120	52	0.4051	2	-1.6087	poor	4: poor quality, few CNAs, few waves, high probe value dispersion
GSM374907	GSE14860	5.0831	42	64	0.3372	1	2.313	good	2: good quality, discernible CNAs with few waves
GSM374908	GSE14860	1.4629	119	22	0.3186	1	0.9286	good	5: good quality, control or without many CNAs
GSM374909	GSE14860	2.5714	6	24	0.414	1	1.4483	good	2: good quality, discernible CNAs with few waves
GSM374910	GSE14860	1.4931	120	23	0.3071	1	1.0238	good	5: good quality, control or without many CNAs
GSM374911	GSE14860	2.4684	25	45	0.3191	1	1.741	good	2: good quality, discernible CNAs with few waves
GSM374912	GSE14860	6.5228	23	34	0.3301	1	2.7829	good	2: good quality, discernible CNAs with few waves
GSM374913	GSE14860	2.0314	11	26	0.3515	1	1.6366	good	2: good quality, discernible CNAs with few waves
GSM374914	GSE14860	1.6039	120	22	0.3263	1	0.8609	good	2: good quality, discernible CNAs with few waves
GSM374915	GSE14860	1.6439	37	23	0.4389	2	-0.1143	poor	4: poor quality, few CNAs, few waves, high probe value dispersion
GSM374916	GSE14860	2.9581	3	22	0.3204	1	1.3243	good	2: good quality, discernible CNAs with few waves
GSM374917	GSE14860	1.6515	2	23	0.3251	1	1.0016	good	2: good quality, discernible CNAs with few waves
GSM374918	GSE14860	1.5416	120	23	0.3254	1	0.7923	good	2: good quality, discernible CNAs with few waves
GSM374919	GSE14860	4.3356	9	24	0.3178	1	2.1922	good	2: good quality, discernible CNAs with few waves
GSM374920	GSE14860	1.7	119	28	0.4056	2	-0.6525	poor	4: poor quality, few CNAs, few waves, high probe value dispersion
GSM374921	GSE14860	1.6472	116	23	0.3527	1	0.46	good	2: good quality, discernible CNAs with few waves
GSM374922	GSE14860	3.6603	3	23	0.3022	1	1.2682	good	2: good quality, discernible CNAs with few waves
GSM374923	GSE14860	4.1912	7	37	0.3112	1	1.9175	good	2: good quality, discernible CNAs with few waves
GSM374924	GSE14860	1.6828	120	32	0.3467	2	-0.0282	poor	3: poor quality, indiscernible CNAs with many waves
GSM374925	GSE14860	1.8276	118	48	0.3911	2	-1.2548	poor	3: poor quality, indiscernible CNAs with many waves
GSM374926	GSE14860	2.1518	64	98	0.3442	2	-1.4254	poor	3: poor quality, indiscernible CNAs with many waves
GSM374927	GSE14860	1.7165	120	76	0.377	2	-1.9612	poor	3: poor quality, indiscernible CNAs with many waves
GSM374928	GSE14860	1.51	120	22	0.3001	1	1.1736	good	2: good quality, discernible CNAs with few waves
GSM374929	GSE14860	3.0853	7	37	0.3266	1	1.7852	good	2: good quality, discernible CNAs with few waves
GSM374930	GSE14860	1.7597	117	30	0.4154	2	-0.8352	poor	4: poor quality, few CNAs, few waves, high probe value dispersion
GSM374931	GSE14860	1.5372	117	22	0.4348	2	-0.7935	poor	4: poor quality, few CNAs, few waves, high probe value dispersion
GSM374932	GSE14860	1.7325	120	24	0.3933	2	-0.2123	poor	4: poor quality, few CNAs, few waves, high probe value dispersion
GSM374933	GSE14860	1.7134	119	26	0.3217	1	0.7447	good	2: good quality, discernible CNAs with few waves
GSM374934	GSE14860	1.7062	120	23	0.4086	2	-0.397	poor	4: poor quality, few CNAs, few waves, high probe value dispersion
GSM374935	GSE14860	1.8027	116	26	0.4051	2	-0.4257	poor	4: poor quality, few CNAs, few waves, high probe value dispersion
GSM374936	GSE14860	2.1848	41	60	0.402	2	-0.2928	poor	3: poor quality, indiscernible CNAs with many waves
GSM374937	GSE14860	1.6246	119	22	0.417	2	-0.5024	poor	4: poor quality, few CNAs, few waves, high probe value dispersion
GSM374938	GSE14860	1.596	120	26	0.4104	2	-0.6882	poor	4: poor quality, few CNAs, few waves, high probe value dispersion
GSM374939	GSE14860	2.3195	86	94	0.3747	2	-1.4446	poor	3: poor quality, indiscernible CNAs with many waves
GSM374940	GSE14860	1.7371	110	32	0.3532	1	0.0062	good	2: good quality, discernible CNAs with few waves
GSM374941	GSE14860	1.9029	24	44	0.3687	1	0.6656	good	2: good quality, discernible CNAs with few waves
GSM374942	GSE14860	2.4741	51	75	0.3458	2	-0.1773	poor	3: poor quality, indiscernible CNAs with many waves
GSM374943	GSE14860	1.6787	119	33	0.3569	2	-0.2393	poor	3: poor quality, indiscernible CNAs with many waves
GSM374944	GSE14860	1.5023	120	24	0.2933	1	1.1343	good	2: good quality, discernible CNAs with few waves
GSM374945	GSE14860	1.6851	120	28	0.4066	2	-0.6854	poor	4: poor quality, few CNAs, few waves, high probe value dispersion
GSM374946	GSE14860	1.6246	120	29	0.3634	2	-0.1375	poor	3: poor quality, indiscernible CNAs with many waves
GSM374947	GSE14860	1.9297	13	28	0.4419	1	0.5966	good	2: good quality, discernible CNAs with few waves
GSM374948	GSE14860	2.0547	5	31	0.3456	1	1.4293	good	2: good quality, discernible CNAs with few waves
GSM374949	GSE14860	1.7014	102	31	0.3665	2	-0.0968	poor	3: poor quality, indiscernible CNAs with many waves
GSM374950	GSE14860	1.6515	120	23	0.4184	2	-0.574	poor	4: poor quality, few CNAs, few waves, high probe value dispersion
GSM374951	GSE14860	1.5977	120	22	0.379	1	0.0549	good	2: good quality, discernible CNAs with few waves
GSM374952	GSE14860	1.6904	118	28	0.4174	2	-0.8215	poor	4: poor quality, few CNAs, few waves, high probe value dispersion
GSM374953	GSE14860	2.1052	120	51	0.4533	2	-1.5193	poor	4: poor quality, few CNAs, few waves, high probe value dispersion
GSM374954	GSE14860	1.9759	14	35	0.3709	1	1.2414	good	2: good quality, discernible CNAs with few waves
GSM374955	GSE14860	1.7196	120	39	0.3097	1	0.0802	good	2: good quality, discernible CNAs with few waves
GSM374956	GSE14860	2.0203	22	26	0.3356	1	1.8231	good	2: good quality, discernible CNAs with few waves
GSM374957	GSE14860	1.6366	5	47	0.3581	1	0.5086	good	2: good quality, discernible CNAs with few waves
GSM374958	GSE14860	2.7951	8	25	0.3818	1	1.8641	good	2: good quality, discernible CNAs with few waves
GSM374959	GSE14860	2.1292	35	73	0.3291	2	-0.2873	poor	3: poor quality, indiscernible CNAs with many waves
GSM374960	GSE14860	1.9441	120	50	0.3862	2	-1.1392	poor	3: poor quality, indiscernible CNAs with many waves
GSM374961	GSE14860	2.0447	4	23	0.293	1	1.4699	good	2: good quality, discernible CNAs with few waves
GSM374962	GSE14860	2.2257	4	27	0.3785	1	1.3582	good	2: good quality, discernible CNAs with few waves
GSM374963	GSE14860	2.2442	7	39	0.3652	1	1.2638	good	2: good quality, discernible CNAs with few waves
GSM374964	GSE14860	2.4755	5	24	0.3429	1	1.6557	good	2: good quality, discernible CNAs with few waves
GSM374965	GSE14860	2.9498	18	22	0.2903	1	2.3255	good	2: good quality, discernible CNAs with few waves
GSM374966	GSE14860	1.4919	120	23	0.3317	1	0.6808	good	5: good quality, control or without many CNAs
GSM374967	GSE14860	1.6442	118	22	0.3287	1	0.8571	good	2: good quality, discernible CNAs with few waves
GSM374968	GSE14860	1.601	105	22	0.3154	1	1.1354	good	2: good quality, discernible CNAs with few waves
GSM374969	GSE14860	2.3117	12	24	0.3154	1	1.9974	good	2: good quality, discernible CNAs with few waves
GSM374970	GSE14860	2.0556	9	28	0.4851	1	0.3846	good	2: good quality, discernible CNAs with few waves
GSM374971	GSE14860	2.0883	25	41	0.5006	2	-0.4712	poor	4: poor quality, few CNAs, few waves, high probe value dispersion
GSM374972	GSE14860	2.662	17	43	0.3809	1	1.6026	good	2: good quality, discernible CNAs with few waves
GSM374973	GSE14860	2.9321	43	55	0.3849	1	1.0994	good	2: good quality, discernible CNAs with few waves
GSM374974	GSE14860	2.7953	67	118	0.3479	2	-1.2156	poor	1: hypersegmented, discernible CNAs with some waves
GSM374975	GSE14860	1.6037	120	22	0.3905	2	-0.1221	poor	4: poor quality, few CNAs, few waves, high probe value dispersion
GSM374976	GSE14860	1.9565	120	45	0.3927	2	-1.0155	poor	3: poor quality, indiscernible CNAs with many waves
GSM374977	GSE14860	2.8561	8	50	0.3528	1	1.1009	good	2: good quality, discernible CNAs with few waves
GSM375353	GSE14860	1.8575	114	38	0.4356	2	-1.3112	poor	4: poor quality, few CNAs, few waves, high probe value dispersion
GSM375354	GSE14860	2.0414	83	131	0.4756	2	-2.0346	poor	3: poor quality, indiscernible CNAs with many waves
GSM375355	GSE14860	1.946	29	82	0.5868	2	-1.6607	poor	3: poor quality, indiscernible CNAs with many waves
GSM375356	GSE14860	1.7729	120	39	0.3557	2	-0.4842	poor	3: poor quality, indiscernible CNAs with many waves
GSM375357	GSE14860	1.6785	119	29	0.3959	2	-0.5877	poor	4: poor quality, few CNAs, few waves, high probe value dispersion
GSM375358	GSE14860	1.6876	119	36	0.459	2	-1.6692	poor	4: poor quality, few CNAs, few waves, high probe value dispersion
GSM375359	GSE14860	1.9709	108	66	0.4718	2	-1.939	poor	3: poor quality, indiscernible CNAs with many waves
GSM375360	GSE14860	1.8007	4	43	0.3947	1	0.6313	good	2: good quality, discernible CNAs with few waves
GSM375361	GSE14860	1.9876	120	70	0.4794	2	-1.9723	poor	3: poor quality, indiscernible CNAs with many waves
GSM375362	GSE14860	1.8771	4	54	0.3795	1	0.273	good	2: good quality, discernible CNAs with few waves
GSM375363	GSE14860	1.5379	120	22	0.4599	2	-1.106	poor	4: poor quality, few CNAs, few waves, high probe value dispersion
GSM375364	GSE14860	1.6621	120	38	0.4715	2	-1.8547	poor	4: poor quality, few CNAs, few waves, high probe value dispersion
GSM375365	GSE14860	1.8682	117	77	0.4975	2	-2.1095	poor	3: poor quality, indiscernible CNAs with many waves
GSM375366	GSE14860	4.0099	48	50	0.4251	1	1.7413	good	2: good quality, discernible CNAs with few waves
GSM375367	GSE14860	1.542	119	22	0.4476	2	-0.9601	poor	4: poor quality, few CNAs, few waves, high probe value dispersion
GSM375368	GSE14860	2.9814	5	24	0.5243	1	0.7394	good	2: good quality, discernible CNAs with few waves
GSM375369	GSE14860	2.102	118	54	0.4111	2	-1.2796	poor	4: poor quality, few CNAs, few waves, high probe value dispersion
GSM375370	GSE14860	2.0754	31	78	0.3618	2	-0.7302	poor	3: poor quality, indiscernible CNAs with many waves
GSM375371	GSE14860	3.528	18	63	0.4565	1	0.804	good	2: good quality, discernible CNAs with few waves
GSM375372	GSE14860	1.6955	120	26	0.3995	2	-0.453	poor	4: poor quality, few CNAs, few waves, high probe value dispersion
GSM375373	GSE14860	1.8742	120	59	0.4405	2	-1.8839	poor	4: poor quality, few CNAs, few waves, high probe value dispersion
GSM375374	GSE14860	2.3339	3	23	0.4917	1	0.5682	good	2: good quality, discernible CNAs with few waves
GSM375375	GSE14860	1.9169	53	48	0.4254	2	-0.7715	poor	3: poor quality, indiscernible CNAs with many waves
GSM375376	GSE14860	1.7796	118	44	0.4555	2	-1.7796	poor	4: poor quality, few CNAs, few waves, high probe value dispersion
GSM375377	GSE14860	1.7474	117	41	0.3763	2	-0.8712	poor	3: poor quality, indiscernible CNAs with many waves
GSM375378	GSE14860	2.8058	38	30	0.4116	1	1.5327	good	2: good quality, discernible CNAs with few waves
GSM375379	GSE14860	1.7361	117	45	0.4611	2	-1.8885	poor	4: poor quality, few CNAs, few waves, high probe value dispersion
GSM375380	GSE14860	1.9059	120	41	0.4487	2	-1.5002	poor	4: poor quality, few CNAs, few waves, high probe value dispersion
GSM375381	GSE14860	1.7258	120	40	0.4224	2	-1.4316	poor	4: poor quality, few CNAs, few waves, high probe value dispersion
GSM375382	GSE14860	2.5333	7	95	0.3792	2	-1.1341	poor	1: hypersegmented, discernible CNAs with some waves
GSM375383	GSE14860	1.8748	115	72	0.4476	2	-2.0578	poor	3: poor quality, indiscernible CNAs with many waves
GSM375384	GSE14860	1.8604	120	76	0.5119	2	-2.084	poor	3: poor quality, indiscernible CNAs with many waves
GSM375385	GSE14860	2.0471	119	113	0.4916	2	-1.9569	poor	3: poor quality, indiscernible CNAs with many waves
GSM375386	GSE14860	1.929	116	79	0.5142	2	-2.024	poor	3: poor quality, indiscernible CNAs with many waves
GSM375387	GSE14860	1.7618	120	47	0.437	2	-1.7496	poor	4: poor quality, few CNAs, few waves, high probe value dispersion
GSM375388	GSE14860	1.8632	111	75	0.4436	2	-2.0806	poor	3: poor quality, indiscernible CNAs with many waves
GSM375389	GSE14860	1.9975	11	66	0.4556	2	-0.638	poor	3: poor quality, indiscernible CNAs with many waves
GSM375390	GSE14860	1.584	119	29	0.4456	2	-1.3281	poor	4: poor quality, few CNAs, few waves, high probe value dispersion
GSM375391	GSE14860	1.6242	120	25	0.4517	2	-1.142	poor	4: poor quality, few CNAs, few waves, high probe value dispersion
GSM375392	GSE14860	1.7688	120	56	0.4563	2	-2.0355	poor	4: poor quality, few CNAs, few waves, high probe value dispersion
GSM375393	GSE14860	1.4713	118	22	0.4721	2	-1.266	poor	4: poor quality, few CNAs, few waves, high probe value dispersion
GSM375394	GSE14860	1.8901	120	67	0.4096	2	-1.8257	poor	3: poor quality, indiscernible CNAs with many waves
GSM375395	GSE14860	2.1176	99	98	0.4336	2	-1.9414	poor	3: poor quality, indiscernible CNAs with many waves
GSM375396	GSE14860	1.898	118	38	0.3833	2	-0.6599	poor	3: poor quality, indiscernible CNAs with many waves
GSM375397	GSE14860	1.6461	120	34	0.4729	2	-1.747	poor	4: poor quality, few CNAs, few waves, high probe value dispersion
GSM375398	GSE14860	2.2064	119	101	0.5024	2	-1.8169	poor	3: poor quality, indiscernible CNAs with many waves
GSM375399	GSE14860	1.9321	105	58	0.3971	2	-1.4127	poor	3: poor quality, indiscernible CNAs with many waves
GSM375400	GSE14860	1.8668	119	78	0.4948	2	-2.1133	poor	3: poor quality, indiscernible CNAs with many waves
GSM375401	GSE14860	2.1233	51	116	0.3949	2	-1.8439	poor	3: poor quality, indiscernible CNAs with many waves
GSM375402	GSE14860	1.9243	120	56	0.4323	2	-1.7215	poor	4: poor quality, few CNAs, few waves, high probe value dispersion
GSM375403	GSE14860	1.7695	119	46	0.3993	2	-1.3483	poor	4: poor quality, few CNAs, few waves, high probe value dispersion
GSM375404	GSE14860	1.9799	120	43	0.4894	2	-1.7019	poor	4: poor quality, few CNAs, few waves, high probe value dispersion
GSM375405	GSE14860	1.9327	120	61	0.4812	2	-1.9722	poor	4: poor quality, few CNAs, few waves, high probe value dispersion
GSM375406	GSE14860	2.2167	13	29	0.4653	1	0.6934	good	2: good quality, discernible CNAs with few waves
GSM375407	GSE14860	1.7892	108	50	0.4765	2	-1.9792	poor	4: poor quality, few CNAs, few waves, high probe value dispersion
GSM375408	GSE14860	2.0031	119	78	0.4383	2	-1.9487	poor	3: poor quality, indiscernible CNAs with many waves
GSM375409	GSE14860	1.6805	3	22	0.4978	1	0.2268	good	2: good quality, discernible CNAs with few waves
GSM375410	GSE14860	1.7738	120	29	0.4671	2	-1.3704	poor	4: poor quality, few CNAs, few waves, high probe value dispersion
GSM375411	GSE14860	1.8315	120	42	0.45	2	-1.6297	poor	4: poor quality, few CNAs, few waves, high probe value dispersion
GSM375412	GSE14860	1.7088	117	34	0.419	2	-1.1363	poor	4: poor quality, few CNAs, few waves, high probe value dispersion
GSM375413	GSE14860	1.9287	120	65	0.4867	2	-2.0115	poor	3: poor quality, indiscernible CNAs with many waves
GSM375414	GSE14860	1.9419	120	82	0.3832	2	-1.8526	poor	3: poor quality, indiscernible CNAs with many waves
GSM375415	GSE14860	1.9368	110	39	0.404	2	-0.8643	poor	4: poor quality, few CNAs, few waves, high probe value dispersion
GSM375416	GSE14860	1.7288	120	92	0.4399	2	-2.2758	poor	3: poor quality, indiscernible CNAs with many waves
GSM375417	GSE14860	4.929	8	25	0.4415	1	1.9343	good	2: good quality, discernible CNAs with few waves
GSM375418	GSE14860	2.0543	54	97	0.3735	2	-1.5701	poor	3: poor quality, indiscernible CNAs with many waves
GSM375419	GSE14860	1.8132	120	45	0.4195	2	-1.4757	poor	4: poor quality, few CNAs, few waves, high probe value dispersion
GSM375420	GSE14860	1.8654	120	60	0.3746	2	-1.4354	poor	3: poor quality, indiscernible CNAs with many waves
GSM375421	GSE14860	1.9107	120	74	0.4847	2	-2.0716	poor	3: poor quality, indiscernible CNAs with many waves
GSM375422	GSE14860	1.8901	118	72	0.4507	2	-2.0513	poor	3: poor quality, indiscernible CNAs with many waves
GSM375423	GSE14860	2.2181	6	26	0.436	1	1.0825	good	2: good quality, discernible CNAs with few waves
GSM375424	GSE14860	2.1427	117	64	0.3685	2	-1.1316	poor	3: poor quality, indiscernible CNAs with many waves
GSM375425	GSE14860	1.6544	120	25	0.4423	2	-1.0093	poor	4: poor quality, few CNAs, few waves, high probe value dispersion
GSM375426	GSE14860	1.7922	110	31	0.4321	2	-1.0262	poor	4: poor quality, few CNAs, few waves, high probe value dispersion
GSM375427	GSE14860	1.5975	119	22	0.4727	2	-1.1934	poor	4: poor quality, few CNAs, few waves, high probe value dispersion
GSM375428	GSE14860	1.8638	119	54	0.4315	2	-1.7475	poor	4: poor quality, few CNAs, few waves, high probe value dispersion
GSM375429	GSE14860	2.1726	28	32	0.6193	2	-1.1653	poor	4: poor quality, few CNAs, few waves, high probe value dispersion
GSM375430	GSE14860	3.2781	22	49	0.5697	1	0.1419	good	2: good quality, discernible CNAs with few waves
GSM375431	GSE14860	1.7528	113	71	0.5049	2	-2.2034	poor	3: poor quality, indiscernible CNAs with many waves
GSM375432	GSE14860	2.2489	18	84	0.5333	2	-1.2243	poor	3: poor quality, indiscernible CNAs with many waves
GSM375433	GSE14860	2.5489	78	93	0.5728	2	-1.4001	poor	1: hypersegmented, discernible CNAs with some waves
GSM375434	GSE14860	1.7606	120	55	0.5793	2	-1.9459	poor	4: poor quality, few CNAs, few waves, high probe value dispersion
GSM375435	GSE14860	1.603	120	43	0.4956	2	-2.1387	poor	4: poor quality, few CNAs, few waves, high probe value dispersion
GSM375436	GSE14860	1.8794	120	67	0.5383	2	-1.9977	poor	3: poor quality, indiscernible CNAs with many waves
GSM375841	GSE15051	2.4913	68	64	0.433	2	-0.6943	poor	3: poor quality, indiscernible CNAs with many waves
GSM375842	GSE15051	3.2684	62	88	0.4581	2	-0.44	poor	1: hypersegmented, discernible CNAs with some waves
GSM375843	GSE15051	3.0267	58	67	0.5269	2	-0.5701	poor	1: hypersegmented, discernible CNAs with some waves
GSM375844	GSE15051	2.8314	58	67	0.5427	2	-0.8437	poor	1: hypersegmented, discernible CNAs with some waves
GSM375845	GSE15051	2.4981	49	59	0.5785	2	-1.1537	poor	4: poor quality, few CNAs, few waves, high probe value dispersion
GSM375846	GSE15051	2.9834	80	70	0.5558	2	-0.8962	poor	1: hypersegmented, discernible CNAs with some waves
GSM381297	GSE15264	2.4865	37	75	0.4872	2	-0.9085	poor	3: poor quality, indiscernible CNAs with many waves
GSM381298	GSE15264	3.7123	66	80	0.394	1	0.4874	good	2: good quality, discernible CNAs with few waves
GSM381299	GSE15264	2.5099	40	63	0.4941	2	-0.6835	poor	1: hypersegmented, discernible CNAs with some waves
GSM397671	GSE15826	1.0806	110	25	0.3176	1	0.633	good	5: good quality, control or without many CNAs
GSM397672	GSE15826	1.2906	120	38	0.314	2	-0.2444	poor	3: poor quality, indiscernible CNAs with many waves
GSM397673	GSE15826	1.0891	114	22	0.3762	2	-0.0801	poor	4: poor quality, few CNAs, few waves, high probe value dispersion
GSM397674	GSE15826	1.1524	119	22	0.366	1	0.0822	good	5: good quality, control or without many CNAs
GSM397675	GSE15826	1.0842	120	22	0.2979	1	1.0483	good	5: good quality, control or without many CNAs
GSM397676	GSE15826	1.1513	120	22	0.3495	1	0.3423	good	5: good quality, control or without many CNAs
GSM397677	GSE15826	1.5041	120	209	0.3958	2	-1.9239	poor	3: poor quality, indiscernible CNAs with many waves
GSM397678	GSE15826	1.2454	120	51	0.4716	2	-2.44	poor	4: poor quality, few CNAs, few waves, high probe value dispersion
GSM397679	GSE15826	1.1923	118	52	0.4309	2	-2.2792	poor	4: poor quality, few CNAs, few waves, high probe value dispersion
GSM397680	GSE15826	1.2354	120	46	0.3947	2	-1.7779	poor	4: poor quality, few CNAs, few waves, high probe value dispersion
GSM397681	GSE15826	1.1926	114	44	0.408	2	-1.8523	poor	4: poor quality, few CNAs, few waves, high probe value dispersion
GSM397682	GSE15826	1.2082	120	41	0.5162	2	-2.371	poor	4: poor quality, few CNAs, few waves, high probe value dispersion
GSM397683	GSE15826	1.4062	120	151	0.4475	2	-2.1188	poor	3: poor quality, indiscernible CNAs with many waves
GSM397684	GSE15826	1.1775	109	27	0.3654	2	-0.2299	poor	3: poor quality, indiscernible CNAs with many waves
GSM397685	GSE15826	1.2667	120	71	0.5126	2	-2.4392	poor	3: poor quality, indiscernible CNAs with many waves
GSM397686	GSE15826	1.2225	120	42	0.4662	2	-2.2635	poor	4: poor quality, few CNAs, few waves, high probe value dispersion
GSM397687	GSE15826	1.1899	120	36	0.3475	2	-0.6496	poor	3: poor quality, indiscernible CNAs with many waves
GSM397688	GSE15826	1.2434	115	57	0.3509	2	-1.653	poor	3: poor quality, indiscernible CNAs with many waves
GSM397689	GSE15826	1.0787	120	22	0.3741	2	-0.0764	poor	4: poor quality, few CNAs, few waves, high probe value dispersion
GSM397690	GSE15826	1.2324	119	48	0.5334	2	-2.4113	poor	4: poor quality, few CNAs, few waves, high probe value dispersion
GSM397691	GSE15826	1.2563	117	52	0.3727	2	-1.7278	poor	3: poor quality, indiscernible CNAs with many waves
GSM397692	GSE15826	1.1769	119	26	0.4761	2	-1.6901	poor	4: poor quality, few CNAs, few waves, high probe value dispersion
GSM397693	GSE15826	1.0802	120	22	0.31	1	0.8945	good	5: good quality, control or without many CNAs
GSM397694	GSE15826	1.1805	117	26	0.377	2	-0.3867	poor	4: poor quality, few CNAs, few waves, high probe value dispersion
GSM397695	GSE15826	1.0976	120	22	0.5031	2	-1.6303	poor	4: poor quality, few CNAs, few waves, high probe value dispersion
GSM397696	GSE15826	1.2394	120	45	0.4485	2	-2.229	poor	4: poor quality, few CNAs, few waves, high probe value dispersion
GSM397697	GSE15826	1.1709	120	35	0.303	1	0.0478	good	5: good quality, control or without many CNAs
GSM397698	GSE15826	1.225	119	56	0.4538	2	-2.4461	poor	3: poor quality, indiscernible CNAs with many waves
GSM397699	GSE15826	1.0902	120	22	0.3616	1	0.128	good	5: good quality, control or without many CNAs
GSM397700	GSE15826	1.1842	86	38	0.3386	2	-0.4208	poor	3: poor quality, indiscernible CNAs with many waves
GSM397701	GSE15826	1.1315	120	24	0.3396	1	0.3393	good	5: good quality, control or without many CNAs
